,processed_txt
0,worldcom ex-boss launch defenc lawyer defend former worldcom chief berni ebber batteri fraud charg call compani whistleblow first witness. cynthia cooper worldcom ex-head intern account alert director irregular account practic us telecom giant 2002. warn led collaps firm follow discoveri $11bn (£5.7bn) account fraud. mr ebber plead guilti charg fraud conspiracy. prosecut lawyer argu mr ebber orchestr seri account trick worldcom order employe hide expens inflat revenu meet wall street earn estimates. ms cooper run consult busi told juri new york wednesday extern auditor arthur andersen approv worldcom account earli 2001 2002. said andersen given green light procedur practic use worldcom. mr ebber lawyer said unawar fraud argu auditor alert problems. ms cooper also said sharehold meet mr ebber often pass technic question compani financ chief give brief answer himself. prosecut star wit former worldcom financi chief scott sullivan said mr ebber order account adjust firm tell hit book . howev ms cooper said mr sullivan mention anyth uncomfort worldcom account 2001 audit committe meeting. mr ebber could face jail sentenc 85 year convict charg facing. worldcom emerg bankruptci protect 2004 known mci. last week mci agre buyout verizon commun deal valu $6.75bn.
1,german busi confid slide german busi confid fell februari knock hope speedi recoveri europ largest economy. munich-bas research institut ifo said confid index fell 95.5 februari 97.5 januari first declin three months. studi found outlook manufactur retail sector worsened. observ hope confid busi sector would signal econom activ pick up. surpris ifo index taken knock said dz bank economist bernd weidensteiner. main reason probabl domest economi still weak particularli retail trade. economi labour minist wolfgang clement call dip februari ifo confid figur mild declin . said despit retreat index remain rel high level expect modest econom upsw continue. germani economi grew 1.6% last year shrink 2003. howev economi contract 0.2% last three month 2004 mainli due reluct consum spend. latest indic growth still prove elus ifo presid hans-wern sinn said improv german domest demand sluggish. export kept thing go first half 2004 demand export hit valu euro hit record level make german product less competit overseas. top unemploy rate stuck close 10% manufactur firm includ daimlerchrysl siemen volkswagen negoti union cost cut measures. analyst said ifo figur germani continu problem may delay interest rate rise european central bank. eurozon interest rate 2% comment senior offici recent focus threat inflat prompt fear interest rate may rise.
2,bbc poll indic econom gloom citizen major nation survey bbc world servic poll believ world economi worsening. respond also said nation economi get worse. ask famili financi outlook major 14 countri said posit future. almost 23 000 peopl 22 countri question poll mostli conduct asian tsunami disaster. poll found major plural peopl 13 countri believ economi go downhil compar respond nine countri believ improving. survey three countri split. percentag term averag 44% respond countri said world economi get wors compar 34% said improving. similarli 48% pessimist nation economi 41% optimistic. 47% saw famili econom condit improv 36% said get worse. poll 22 953 peopl conduct intern poll firm globescan togeth program intern polici attitud (pipa) univers maryland. world economi pick difficult time year ago peopl seem fulli absorb develop though person experienc effect said pipa director steven kull. peopl around world saying: ok world . may percept war terror religi polit divis make world wors place even though far reflect global econom perform say bbc elizabeth blunt. countri peopl optimist world famili two fast-grow develop economi china india follow indonesia. china seen two decad blister econom growth led wealth creation huge scale say bbc louisa lim beijing. result also may reflect untrammel confid peopl subject endless govern propaganda countri rosi econom futur correspond says. south korea pessimist respond itali mexico also quit gloomy. bbc david willey rome say one reason result changeov lira euro 2001 wide view biggest reason wage salari worth less use be. philippin among upbeat countri prospect respond famili one pessimist world economy. pipa conduct poll 15 novemb 2004 3 januari 2005 across 22 countri face-to-fac telephon interviews. interview took place 15 novemb 2004 5 januari 2005. margin error 2.5 4 point depend country. eight countri sampl limit major metropolitan areas.
3,lifestyl govern mobil choic faster better funkier hardwar alon go help phone firm sell handset research suggests. instead phone firm keen get custom push technolog sake. consum far interest handset fit lifestyl screen size onboard memori chip insid show in-depth studi handset maker ericsson. histor industri much focu use technolog said dr michael bjorn senior advisor mobil media ericsson consum enterpris lab. stop say technolog chang live said. tri speak consum languag help see fit told bbc news website. studi ericsson interview 14 000 mobil phone owner way use phone. peopl habit remain said dr bjorn. move activ mobil phone much conveni way it. one good exampl diary-writ among younger peopl said. diari alway popular mobil phone -- especi one equip camera -- help keep differ form. youngster use text messag also reflect desir chat keep contact friend let slightli chang way. dr bjorn said although consum alway use phone sheer varieti new handset technolog make possibl gradual drive new habit lifestyles. ericsson research shown consum divid differ tribe use phone differ ways. dr bjorn said group dub pioneer materialist interest tri new thing behind start mani trend phone use. instanc said older peopl use sm much five year ago. younger user often children age mobil owner encourag older peopl tri could keep touch. anoth factor govern speed chang mobil phone use simpl speed new devic bought pioneer materialists. 25% peopl handset new innov camera consum stop worri send pictur messag person end abl see it. signific number user pass use new innov tend take off. dr bjorn said earli report camera phone usag japan seem impli innov go flop. howev said 45% japanes peopl ericsson question use camera phone least month. 2003 figur 29%. similarli across europ number peopl take snap camera start rise. 2003 4% peopl uk took phonecam snap least month. figur 14%. similar rise seen mani european nations. dr bjorn said peopl also use camera phone differ way film even digit cameras. usag pattern digit camera almost exactli replac usag pattern analogu camera said. digit camera tend use signific event wed holiday birthdays. contrast said camera phone use much captur moment woven everyday life.
4,enron boss $168m payout eighteen former enron director agre $168m (£89m) settlement deal sharehold lawsuit collaps energi firm. lead plaintiff univers california announc news ad 10 former director pay $13m pockets. settlement put court approv next week. enron went bankrupt 2001 emerg hidden hundr million dollar debt. collaps firm seventh biggest public us compani revenue. demis sent shockwav financi market dent investor confid corpor america. settlement signific hold outsid director least partial person respons william lerach lawyer lead class action suit enron said. hope help send messag corpor boardroom import director perform legal duti added. term $168m settlement - $155m cover insur - none 18 former director admit wrongdoing. deal fourth major settlement negoti lawyer file class action behalf enron sharehold almost three year ago. far includ latest deal $500m (£378.8m) retriev investors. howev latest deal includ former enron chief execut ken lay jeff skilling. men face crimin charg alleg misconduct run firm collapse. neither cover andrew fastow plead guilti take part illeg conspiraci chief financi offic group. enron sharehold still seek damag long list big name defend includ financi institut jp morgan chase citigroup merril lynch credit suiss first boston. univers california said trial case schedul begin octob 2006. join lawsuit decemb 2001alleg massiv insid trade fraud claim lost $145m invest company.
5,howard truant play snooker conserv leader michael howard admit use play truant spend time school friend snooker hall. mr howard said time jack snooker hall llanelli 1950 done last damag . told time educ supplement truanci bad said firm action needed. mr howard also call return o-level classroom discipline. mr howard eventu left llanelli grammar school - snooker hall - go cambridg university. said: think done last damage. made snooker world champion. might occas left earli afternoon. honest. think truanci bad thing firm action taken deal it. anoth player fail win snooker world championship - jimmi whirlwind white - previous admit miss lesson instead spend day smoki halls. toni meo [anoth player] use spend spare time mr white said love game atmosphere. school went window. went start take time off. mr howard fellow welshman ray reardon - known fellow profession dracula - snooker world championship six time left school 14 work miner. terri griffith like mr howard llanelli tournament 1979. known whether two ever clash cue jack s.
6,wale silent grand slam talk rhi william say wale still think win grand slam despit third six nation win. last thing mind moment said william second- half replac saturday 24-18 win franc paris. realis difficult task go scotland beat them. come unstuck coupl time recent focu game worri ireland hope beaten scotland. captain gareth thoma rule rest campaign broken thumb william vy first start championship far. kevin morgan probabl favourit replac thoma full-back leav william hal luscomb battl right wing berth. hamstr injuri deni luscomb opportun make third success start dragon winger expect fit trip murrayfield 13 march. hooker robin mcbryde doubt pick knee injuri pari centr sonni parker flanker colin charvi set recov injuri content selection. said wale assist coach scott johnson: work weekend report bit positive. get coupl back add depth squad. scotland secur first win campaign saturday grind 18-10 win italy. matt william side shown littl attack johnson insist scot difficult opposit break down. itali realli brave opposit sometim hard win said. ugli win effect 30 40 point victory. scotland hard side underr take anyth granted. bask glori win first three games. got dilig preparation. job got make sure focused.
7,french honour director parker british film director sir alan parker made offic order art letter one franc highest cultur honours. sir alan receiv decor pari wednesday french cultur minist renaud donnedieu de vabres. explor possibl film immens talent mr de vabr said present award. parker prais french film saying: hollywood creat modern cinema use commodity. told minister: honour thu distinguish franc flag carrier cinema throughout world. sir alan film includ oscar-win fame plu midnight express commitments. found member director guild great britain former chairman uk film council board british film institute. work campaign shown us artist occupi essenti place contemporari societi mr de vabr said. dream show us link weav question world mirror work. also cite director 2003 film life david gale kevin spacey play man death row proof verit artist commit death sentenc .
8,car giant hit merced slump slump profit luxuri car maker merced prompt big drop profit parent daimlerchrysler. german-u carmak saw fourth quarter oper profit fall 785m euro ($1bn) 2.4bn euro 2003. mercedes-benz woe - profit slid 20m euro - obscur strong perform chrysler group whose return met market expectations. merced face fierc competit luxuri car sector bmw hope reviv fortun 2006. merced profit period compar unfavour 2003 784m euro figur well analyst expect 374m euros. year whole oper profit fell 46% 1.6bn euros. sale merced brand fell 2% demand cool revenu affect weak us dollar. carmak blame fall profit high launch cost new model loss merced smart mini-car range. merced hope increas product 3bn euro negoti 500m euro annual save german worker last year. firm said determin retain merced posit world success luxuri brand. howev daimlerchrysl share fell 1.5% news. divis well big worri continu surround mercedes-benz michael rabb analyst bank sal oppenheim told reuters. contrast chrysler enjoy 5% annual increas unit sale revenu - calcul us dollar - rose 10%. us divis - whose marqu includ dodg jeep - transform full year oper loss 506m euro 2003 1.4bn euro profit last year. overal daimlerchrysl saw worldwid vehicl sale rise 8% 4.7 million 2004 total revenu ad 4% 142bn euros. chrysler strong perform help world fifth largest carmak boost net incom 400m euro 2.5bn euros. year 2004 show strategi work well - even challeng competit environ said jurgen schrempp daimlerchrysl chairman. daimlerchrysl took 475m euro hit cost stem defect scandal joint ventur japanes subsidiari fuso. daimlerchrysl last week agre compens packag partner mitsubishi motor see buy stake fuso. look forward daimerchrysl profit expect slightli higher 2005. howev expect signific improv profit 2006 result major invest merced product range.
9,focker fuel festiv film chart comedi meet focker top festiv box offic north america set new record christma day. sequel took $44.7m (£23.2m) 24 26 decemb accord studio estimates. took $19.1m (£9.9m) christma day alon highest take day box offic history. meet focker sequel ben stiller comedi meet parent also star robert de niro blyth danner dustin hoffman barbra streisand. despit success meet focker take 26.5% 2003 figur - blame christma fall weekend year. christma fall weekend bad busi said paul dergarabedian presid exhibitor relat compil box offic statistics. weekend top 12 film took estim $121.9m (£63.3m) compar $165.8m (£86.1m) last year third lord ring film domin box office. meet focker knock last week top film lemoni snicket seri unfortun event third place $12.5m (£6.5m). comedi fat albert - co-written bill cosbi - enter chart second place open christma day take $12.7m (£6.6m). aviat star leonardo dicaprio howard hugh took $9.4m expand 40 1 796 cinema christma day.
10,blair reject iraq advic call toni blair reject call public advic legal iraq war amid grow call investigation. prime minist told monthli press confer matter dealt attorney general. earlier conserv mp michael mate join call probe claim lord goldsmith statement parliament drawn number 10. mr blair said statement fair summari lord goldsmith opinion. (lord goldsmith) said say. dealt time time time mr blair told monthli news confer down street. refus answer question issu say dealt liter score time posit chang . lord goldsmith deni lean say word written his. govern refus publish advic legal war - say paper alway kept confidential. mr mate member common intellig secur committe part butler inquiri pre-war intellig told bbc friday: gener rule right absolut rule. said occas advic publish recent regard princ charl marriag plans. govern could pick choos use convent said. mr mate added: discov two three occas past law offic advic govern published. may one special occasions... would public interest see advic attorney gener gave prime minister. argument reject mr blair said: firstli broken preced secondli peter goldsmith made statement got absolut noth add it. book publish week philipp sand qc member cheri blair matrix chamber say lord goldsmith warn toni blair 7 march 2003 iraq war could illeg without second un resolut sanction militari action. short statement lord goldsmith posit present written parliamentari answer 17 march 2003 - crucial common vote militari action. mr sand book suggest actual written home offic minist lord falcon down street advis baro morgan. former minist clare short resign govern iraq war said statement earlier shown cabinet discuss militari action. told bbc full advic attach accord ministeri code. view need hous lord set special committe summon attorney get paper look exactli happen said. conserv liber democrat say want public full legal advic given attorney general. thursday lord goldsmith said statement written number 10 . parliamentari answer march 17 2003 explain genuin held independ view militari action law exist secur council resolut said.
11,housew lift channel 4 rate debut us televis hit desper housew help lift channel 4 januari audienc share 12% compar last year. success celebr big brother simpson enabl broadcast surpass bbc2 first month sinc last july. howev channel share audienc fell 11.2% 9.6% last month comparison januari 2004. celebr big brother attract less viewer 2002 series. comedi drama desper housew manag pull five million viewer one point run date attract quarter televis audience. two main televis channel bbc1 itv1 seen monthli audienc share declin year year comparison januari five proport remain slender 6.3%. digit multi-channel tv continu strongest area growth bbc report freeview box ownership five million includ one million sale last portion 2004. share audienc soar 20% januari 2005 compar last year current stand averag 28.6%.
12,uk coal plung deeper loss share uk coal fallen mine group report loss deepen £51.6m 2004 £1.2m. uk biggest coal produc blame geolog problem industri action oper flaw deep mine worsen fortunes. south yorkshir compani led new chief execut gerri spindler said hope return profit 2006. earli trade thursday share 10% 119 pence. uk coal said make signific progress shake business. introduc new wage structur new daili mainten regim machineri mine method continu mine advers conditions. compani said action significantli uplift earn . expect 2005 transit year return profit 2006. recent rise coal price fail benefit compani output alreadi sold said. total product cost £1.30 per gigajoul uk coal said averag sell price £1.18 per gigajoule. long journey ahead fix issues. continu make progress great stride alreadi made said mr spindler. uk coal oper 15 deep surfac mine across nottinghamshir derbyshir leicestershir yorkshir west midland northumberland durham.
13,bp surg ahead high oil price oil giant bp announc 26% rise annual profit $16.2bn (£8.7bn) back record oil prices. last week rival shell report annual profit $17.5bn - record profit uk-list company. bp ad increas fourth-quart dividend 26% 8.5 cent would continu share buybacks. bp chief execut lord brown said result strong oper financially. compani earn $1.8m hour. despit record annual profit figur bp perform expect citi analysts. howev bp share price rose 4p nearli 1% morn trade 548p. profit rise year includ profit $3.65bn (£1.97bn) final three month 2004 - $2.89bn year ago third quarter. speak bbc today programm tuesday lord brown said profit sole high oil price alone. profit price oil said. lord brown point bp reap benefit invest oil exploration. spent mani year buy (assets) price low said. compani made new discoveri egypt gulf mexico angola. howev lord brown reject call windfal tax compani huge profit say north sea paid progress tax profit made. lord brown believ oil price remain quit high. current $40 barrel said: price oil well support $30 barrel medium term. bp put product year 3.997 billion barrel oil 10% 2003 slightli lower four billion barrel initi aim for.
14,ireland 21-19 argentina injury-tim drop goal ronan gara stole victori ireland underneath nose argentina lansdown road saturday. gara kick ireland point two drop goal five penalti give home side 100% record autumn internationals. impress argentina appear control die seconds. puma shock irish earli tri federico aramburu felip contepomi kick 14 points. well-dril sharper puma out-play out-thought ireland earli stages. indisciplin allow argentina leinster fly-half contepomi open score third minut straightforward penalty. mark two minut later argentina shock rag ireland first tri game. ireland turn ball manuel contepomi broke unstructur defenc feed midfield partner aramburu sprint posts. gara final got ireland board drop goal ninth minut contepomi rifl second penalti two minut later. play strong wind rain ireland continu come second best tight situat turnov began mount rug defence. gara manag land second penalti 36th minut contepomi repli kind four minut first-half injuri time. second-half start first ended. gara rifl anoth penalti 45th minut contepomi match three minut later. upper-bodi strength puma never allow ireland take control front three-quart space manoeuvre. ireland reli gara boot keep touch rather contriv run plays. munsterman land two penalti - one 48 metr - bring team within four point 13 minut clock remaining. ireland chanc came argentina number eight gonzalo longo yellow card six minut go offenc line-out. gara made mistak rifl fifth penalti set tens final minutes. ireland show great composur get posit allow gara thump massiv drop goal complet tremend fortuit comeback.
15,wenger sign new deal arsen manag arsen wenger sign new contract stay club may 2008. wenger end specul futur agre long-term contract take beyond open arsen new stadium two years. said: sign new contract rubber-stamp desir take club forward fulfil ambitions. still much achiev target drive club on. excit time arsenal. 55-year-old frenchman told arsen websit www.arsenal.com: intent alway clear. love club happi here. wenger titl fa cup three time reign. chairman peter hill-wood said: absolut delight arsen sign extens contract. sinc arriv 1996 revolutionis club pitch. well six major honour time arsen lead influenc behind major initi club includ construct new train centr also new stadium. club continu reap benefit arsen natur eye unearth footbal talent. current fantast crop young player come rank togeth number world-class player play wonder brand football. meanwhil arsen director danni fiszman look wenger stay beyond 2008. come toward end contract review situation. sure want stay hope said fiszman.
